ideReceitaConsumo,vlrConsumoMWh,vlrReceitaFornecimento,numUnidadeConsumidor,anoReferencia,dthProcessamento
1,267096886.4110,48716379094.76,52836073  ,2003,
2,265457320.7380,56672410728.80,54748661  ,2004,
3,253260853.8600,61426214861.28,56836694  ,2005,
4,252107694.4600,64706373433.80,58261836  ,2006,
5,263215700.2600,68122958570.12,60534375  ,2007,
6,278592020.4100,68838701970.26,63088315  ,2008,
7,286871823.7100,74456147481.54,65450236  ,2009,
8,302355009.0790,79998138965.79,67627240  ,2010,
9,310397201.5700,86434360145.16,70130344  ,2011,
10,319871828.1240,93674926325.39,72245611  ,2012,
11,329187467.5290,83760979904.58,74669108  ,2013,
12,345364995.0330,95655417872.09,76883226  ,2014,
13,341927631.3500,135066051177.21,78948554  ,2015,
14,330109404.1600,138660435548.96,80648668  ,2016,10/10/2017 00:00:00
16,313257518.5100,131917580892.75,81752588  ,2017,07/08/2018 00:00:00
18,312597708.2815,147906210284.60,83576144  ,2018,30/04/2019 00:00:00
